playerName,From,To,Pos,Ht,Wt,birthDate,Colleges
Ryan Lorthridge,1995,1995,G,4-Jun,190,7/27/1972,Jackson State University
Ryan Reid,2012,2012,F,8-Jun,232,10/30/1986,Florida State
Ryan Robertson,2000,2000,G,5-Jun,190,10/2/1976,Kansas
Ryan Stack,1999,2000,F,11-Jun,215,7/24/1975,South Carolina
Saben Lee,2021,2022,G,2-Jun,183,6/23/1999,Vanderbilt
Saddiq Bey,2021,2022,F,7-Jun,215,4/9/1999,Villanova
Salah Mejri,2016,2019,C,2-Jul,235,6/15/1986,
Salim Stoudamire,2006,2008,G,1-Jun,179,10/11/1982,Arizona
Sam Bowie,1985,1995,C-F,1-Jul,235,3/17/1961,Kentucky
Sam Cash,1973,1973,F,8-Jun,230,11/13/1950,"University of California, Riverside"
Sam Cassell,1994,2008,G,3-Jun,185,11/18/1969,Florida State
Sam Dekker,2016,2022,F,9-Jun,230,5/6/1994,Wisconsin
Sam Hauser,2022,2022,F,8-Jun,215,12/8/1997,"Marquette, Virginia"
Sam Jacobson,1999,2001,G-F,4-Jun,215,7/22/1975,Minnesota
Sam Jones*,1958,1969,G-F,4-Jun,198,6/24/1933,NC Central
Sam Lacey,1971,1983,C,10-Jun,235,3/28/1948,New Mexico State
Sam Mack,1993,2002,F-G,7-Jun,220,5/26/1970,"Iowa State, Tyler Junior College, Houston"
Sam Merrill,2021,2022,G,4-Jun,205,5/15/1996,Utah State University
Sam Mitchell,1990,2002,F,6-Jun,210,9/2/1963,Mercer University
Sam Pellom,1980,1983,F-C,9-Jun,225,10/2/1951,Buffalo
Sam Perkins,1985,2001,F-C,9-Jun,235,6/14/1961,UNC
Sam Ranzino,1952,1952,G,1-Jun,185,6/23/1928,NC State
Sam Sibert,1973,1973,F,7-Jun,215,2/11/1949,Kentucky State University
Sam Smith,1968,1971,F,7-Jun,230,1/27/1944,Kentucky Wesleyan College
Sam Smith,1979,1980,G,4-Jun,200,1/8/1955,UNLV
Sam Stith,1962,1962,G,2-Jun,185,7/22/1937,St. Bonaventure
Sam Vincent,1986,1992,G,2-Jun,185,5/18/1963,Michigan State
Sam Williams,1969,1970,G,3-Jun,180,1/22/1945,Iowa
Sam Williams,1982,1985,F,8-Jun,210,3/7/1959,Arizona State
Sam Worthen,1981,1982,G,5-Jun,195,1/17/1958,Marquette
Sam Young,2010,2013,F,6-Jun,220,6/1/1985,Pitt
Samaki Walker,1997,2006,F,9-Jun,240,2/25/1976,Louisville
Samardo Samuels,2011,2013,F,9-Jun,260,1/9/1989,Louisville
Samuel Dalembert,2002,2015,C,11-Jun,255,5/10/1981,Seton Hall
Samuel Little,1970,1970,G,1-Jun,180,3/29/1946,Delta State University
Samuel Robinson,1971,1972,F,7-Jun,190,1/1/1948,Cal State Long Beach
Samuel Watts,1971,1971,G,3-Jun,185,3/14/1948,Florida A&M
Sandro Mamukelashvili,2022,2022,F,11-Jun,240,5/23/1999,Seton Hall
Santi Aldama,2022,2022,F,11-Jun,224,1/10/2001,Loyola (MD)
Sasha Danilovi a ,1996,1997,G,5-Jun,200,2/26/1970,
Sasha Kaun,2016,2016,C,11-Jun,260,5/8/1985,Kansas
Sasha Pavlovi a ,2004,2013,G-F,8-Jun,220,11/15/1983,
Sasha Vuja açi a ,2005,2017,G,7-Jun,195,3/8/1984,
Saul Mariaschin,1948,1948,G,11-May,165,9/1/1924,Harvard University
Scooter McCray,1984,1987,F-G,9-Jun,215,2/8/1960,Louisville
Scot Pollard,1998,2008,C,11-Jun,265,2/12/1975,Kansas
Scott Brooks,1989,1998,G,11-May,165,7/31/1965,"TCU, University of California, Irvine"
Scott Burrell,1994,2001,G-F,7-Jun,218,1/12/1971,UConn
Scott English,1973,1975,F,6-Jun,205,10/20/1950,Texas-El Paso
Scott Haffner,1990,1991,G,3-Jun,180,2/2/1966,"Illinois, University of Evansville"
Scott Haskin,1994,1994,C-F,11-Jun,250,9/19/1970,Oregon State
Scott Hastings,1983,1993,F-C,10-Jun,235,6/3/1960,Arkansas
Scott Lloyd,1977,1983,C-F,10-Jun,230,12/19/1952,Arizona State
Scott Machado,2013,2019,G,1-Jun,205,6/8/1990,Iona College
Scott May,1977,1983,F,7-Jun,215,3/19/1954,Indiana
Scott Meents,1990,1991,F,10-Jun,225,1/4/1964,Illinois
Scott Padgett,2000,2007,F,9-Jun,240,4/19/1976,Kentucky
Scott Roth,1988,1990,F,8-Jun,212,6/3/1963,Wisconsin
Scott Sims,1978,1978,G,1-Jun,170,4/18/1955,Missouri
Scott Skiles,1987,1996,G,1-Jun,180,3/5/1964,Michigan State
Scott Wedman,1975,1987,F-G,7-Jun,215,7/29/1952,Colorado
Scott Williams,1991,2005,F-C,10-Jun,230,3/21/1968,UNC
Scottie Barnes,2022,2022,G-F,9-Jun,227,8/1/2001,Florida State
Scottie Lewis,2022,2022,G,5-Jun,189,3/12/2000,Florida
Scottie Pippen,1988,2004,F-G,8-Jun,210,9/25/1965,University of Central Arkansas
Scotty Hopson,2014,2022,G,7-Jun,204,8/8/1989,Tennessee
Sean Colson,2001,2001,G,1-Jun,175,7/1/1975,"Rhode Island, UNC Charlotte"
Sean Elliott,1990,2001,F,8-Jun,205,2/2/1968,Arizona
Sean Green,1992,1994,G-F,5-Jun,210,2/2/1970,"NC State, Iona College"
Sean Higgins,1991,1998,G-F,9-Jun,205,12/30/1968,Michigan
Sean Kilpatrick,2015,2018,G,4-Jun,210,1/6/1990,Cincinnati
Sean Lampley,2003,2004,F,7-Jun,227,9/3/1979,California
Sean Marks,1999,2011,F-C,10-Jun,250,8/23/1975,California
Sean May,2006,2010,F,9-Jun,266,4/4/1984,UNC
Sean McDermott,2021,2021,F,6-Jun,195,11/3/1996,Butler
Sean Rooks,1993,2004,C,10-Jun,250,9/9/1969,Arizona
Sean Singletary,2009,2009,G,1-Jun,185,9/6/1985,Virginia
Sean Williams,2008,2012,C-F,10-Jun,235,9/13/1986,Boston College
Sebastian Telfair,2005,2015,G,1-Jun,165,6/9/1985,
Sedale Threatt,1984,1997,G,2-Jun,175,9/10/1961,West Virginia Tech
Sedric Toney,1986,1994,G,2-Jun,178,4/13/1962,Dayton
Sekou Doumbouya,2020,2022,F,8-Jun,230,12/23/2000,
Semaj Christon,2017,2017,G,3-Jun,190,11/1/1992,Xavier
Semi Ojeleye,2018,2022,F,6-Jun,240,12/5/1994,"Duke, SMU"
Semih Erden,2011,2012,C,1-Jul,240,7/28/1986,
Serge Ibaka,2010,2022,F-C,10-Jun,235,9/18/1989,
Sergei Bazarevich,1995,1995,G,2-Jun,168,3/16/1965,
Sergei Monia,2006,2006,F,8-Jun,220,4/15/1983,
Sergey Karasev,2014,2016,G-F,7-Jun,208,10/26/1993,
Sergio Rodr aguez,2007,2017,G,3-Jun,176,6/12/1986,
Seth Curry,2014,2022,G,2-Jun,185,8/23/1990,"Liberty, Duke"
Shabazz Muhammad,2014,2018,F-G,6-Jun,223,11/13/1992,UCLA
Shabazz Napier,2015,2020,G,1-Jun,175,7/14/1991,UConn
Shai Gilgeous-Alexander,2019,2022,G,6-Jun,180,7/12/1998,Kentucky
Shake Milton,2019,2022,G,5-Jun,205,9/26/1996,SMU
Shaler Halimon,1969,1973,G-F,5-Jun,199,3/30/1945,Utah State University
Shammond Williams,1999,2007,G,1-Jun,201,4/5/1975,UNC
Shamorie Ponds,2020,2020,G,1-Jun,180,6/29/1998,St. John's
Shandon Anderson,1997,2006,F-G,6-Jun,208,12/31/1973,Georgia
Shane Battier,2002,2014,F,8-Jun,220,9/9/1978,Duke
Shane Edwards,2014,2014,F,7-Jun,220,5/31/1987,Little Rock
Shane Heal,1997,2004,G,1-Jun,180,9/6/1970,
Shane Larkin,2014,2018,G,11-May,175,10/2/1992,Miami (FL)
Shannon Brown,2007,2015,G,4-Jun,205,11/29/1985,Michigan State
Shaq Buchanan,2022,2022,G,3-Jun,190,1/30/1997,"Northeast Mississippi Community College, Murray State"
Shaquille Harrison,2018,2022,G,7-Jun,190,10/6/1993,Tulsa
Shaquille O'Neal,1993,2011,C,1-Jul,325,3/6/1972,LSU
Shareef Abdur-Rahim,1997,2008,F,9-Jun,225,12/11/1976,California
Sharife Cooper,2022,2022,G,1-Jun,180,6/11/2001,Auburn
Sharone Wright,1995,1998,F-C,11-Jun,260,1/30/1973,Clemson
Sharrod Ford,2006,2006,F,9-Jun,225,1/9/1982,Clemson
Shaun Livingston,2005,2019,G,7-Jun,192,9/11/1985,
Shavlik Randolph,2006,2015,F,10-Jun,240,11/24/1983,Duke
Shawn Bradley,1994,2005,C,6-Jul,235,3/22/1972,BYU
Shawn Kemp,1990,2003,F-C,10-Jun,230,11/26/1969,Trinity Valley CC
Shawn Long,2017,2017,C-F,9-Jun,255,1/29/1993,Louisiana
Shawn Marion,2000,2015,F,7-Jun,220,5/7/1978,"Vincennes University, UNLV"
Shawn Respert,1996,1999,G,1-Jun,195,2/6/1972,Michigan State
Shawne Williams,2007,2015,F,9-Jun,225,2/16/1986,Memphis
Shawnelle Scott,1997,2002,C,10-Jun,250,6/16/1972,St. John's
Shayne Whittington,2015,2016,F-C,11-Jun,250,3/27/1991,Western Michigan
Shea Seals,1998,1998,G,5-Jun,210,8/26/1975,Tulsa
Shelden Williams,2007,2012,F,9-Jun,250,10/21/1983,Duke
Sheldon Mac,2017,2017,G,5-Jun,200,12/21/1992,Miami (FL)
Shellie McMillon,1959,1962,F,5-Jun,205,3/11/1936,Bradley
Shelton Jones,1989,1989,F,9-Jun,210,4/6/1966,St. John's
Shelvin Mack,2012,2019,G,3-Jun,203,4/22/1990,Butler
Sherell Ford,1996,1996,F,7-Jun,210,8/26/1972,University of Illinois at Chicago
Sherman Douglas,1990,2001,G,1-Jun,180,9/15/1966,Syracuse
Sherron Collins,2011,2011,G,11-May,205,3/18/1987,Kansas
Sherwin Raiken,1953,1953,G,2-Jun,185,10/29/1928,Villanova
Si Green,1957,1966,G-F,2-Jun,185,8/20/1933,Duquesne
Sid Catlett,1972,1972,F,6-Jun,230,4/18/1948,Notre Dame
Sid Tanenbaum,1948,1949,G,1-Jun,160,10/8/1925,NYU
Sidney Green,1984,1993,F-C,9-Jun,220,1/4/1961,UNLV
Sidney Lowe,1984,1990,G,1-Jun,195,1/21/1960,NC State
Sidney Moncrief*,1980,1991,G,3-Jun,180,9/21/1957,Arkansas
Sidney Wicks,1972,1981,F-C,8-Jun,225,9/19/1949,UCLA
Sim Bhullar,2015,2015,C,5-Jul,360,12/2/1992,New Mexico State
Simmie Hill,1970,1974,F,7-Jun,233,11/14/1946,West Texas A&M University
Sindarius Thornwell,2018,2021,G,4-Jun,215,11/15/1994,South Carolina
Skal Labissi a®re,2017,2020,F,10-Jun,235,3/18/1996,Kentucky
Skeeter Henry,1994,1994,G,7-Jun,190,12/8/1967,"Midland College, Oklahoma"
Skeeter Swift,1970,1974,G,3-Jun,204,6/19/1946,East Tennessee State University
Skip Harlicka,1969,1969,G,1-Jun,185,10/14/1946,South Carolina
Skip Thoren,1968,1970,C,10-Jun,230,4/5/1943,Illinois
Skip Wise,1976,1976,G,2-Jun,170,7/25/1955,Clemson
Skippy Whitaker,1955,1955,G,1-Jun,180,8/29/1930,Kentucky
Skylar Mays,2021,2022,G,4-Jun,205,9/5/1997,LSU
Slater Martin,1950,1960,G,10-May,170,10/22/1925,Texas
Slavko Vraneai,2004,2004,C,5-Jul,275,1/30/1983,
Sleepy Floyd,1983,1995,G,3-Jun,170,3/6/1960,Georgetown
Slick Leonard,1957,1963,G,3-Jun,185,7/17/1932,Indiana
Slick Watts,1974,1979,G,1-Jun,175,7/22/1951,Xavier University of Louisiana
Sly Williams,1980,1986,F-G,7-Jun,210,1/26/1958,Rhode Island
Smokey Gaines,1968,1968,G,1-Jun,170,2/27/1940,LeMoyne-Owen College
Smush Parker,2003,2008,G,4-Jun,190,6/1/1981,Fordham
Solomon Alabi,2011,2012,C,1-Jul,251,3/21/1988,Florida State
Solomon Hill,2014,2022,F,6-Jun,226,3/18/1991,Arizona
Solomon Jones,2007,2014,F,10-Jun,230,7/16/1984,South Florida
Sonny Dove,1968,1972,F,7-Jun,198,8/16/1945,St. John's
Sonny Hertzberg,1947,1951,G,10-May,175,7/29/1922,City College of New York
Sonny Parker,1977,1982,F-G,6-Jun,200,3/22/1955,Texas A&M
Sonny Weems,2009,2016,G-F,6-Jun,205,7/8/1986,Arkansas
Soumaila Samake,2001,2003,C,1-Jul,230,3/18/1978,
Speedy Claxton,2002,2009,G,11-May,166,5/8/1978,Hofstra
Spencer Dinwiddie,2015,2022,G,5-Jun,215,4/6/1993,Colorado
Spencer Hawes,2008,2017,C-F,1-Jul,245,4/28/1988,Washington
Spencer Haywood,1970,1983,F-C,8-Jun,225,4/22/1949,Detroit Mercy
Spider Bennett,1969,1969,G,3-Jun,190,8/4/1943,Winston-Salem State
Spud Webb,1986,1998,G,6-May,133,7/13/1963,"Midland College, NC State"
St aphane Lasme,2008,2008,F,8-Jun,215,12/17/1982,UMass
Stacey Arceneaux,1962,1962,F,4-Jun,210,2/17/1936,Iowa State
Stacey Augmon,1992,2006,F-G,8-Jun,205,8/1/1968,UNLV
Stacey King,1990,1997,F-C,11-Jun,230,1/29/1967,Oklahoma
Stan Brown,1948,1952,F,3-Jun,200,6/27/1929,
Stan Kimbrough,1990,1993,G,11-May,153,4/24/1966,"Central Florida, Xavier"
Stan Love,1972,1975,F,9-Jun,215,4/9/1949,Oregon
Stan McKenzie,1968,1974,F-G,5-Jun,195,10/6/1944,NYU
Stan Miasek,1947,1953,C-F,5-Jun,210,9/19/1923,
Stan Noszka,1947,1949,G,1-Jun,185,9/9/1920,Duquesne
Stan Patrick,1950,1950,F-G,2-Jun,185,5/5/1922,Illinois
Stan Pietkiewicz,1979,1981,G-F,5-Jun,200,7/14/1956,Auburn
Stan Stutz,1947,1949,G-F,10-May,170,4/14/1920,Rhode Island
Stan Washington,1975,1975,G,4-Jun,190,1/23/1952,University of San Diego
Stanislav Medvedenko,2001,2007,F,10-Jun,250,4/4/1979,
Stanley Brundy,1990,1990,F,6-Jun,210,11/13/1967,DePaul
Stanley Jackson,1994,1994,G,3-Jun,185,10/10/1970,UAB
Stanley Johnson,2016,2022,F,6-Jun,242,5/29/1996,Arizona
Stanley Roberts,1992,2000,C,1-Jul,285,2/7/1970,LSU
Stanton Kidd,2020,2020,F,6-Jun,215,3/18/1992,"South Plains College, NC Central, Colorado State"
Stefano Rusconi,1996,1996,C-F,9-Jun,240,10/2/1968,
Steffond Johnson,1987,1987,F,8-Jun,240,11/4/1962,"LSU, San Diego State"
Stephen Chubin,1968,1970,G,2-Jun,200,2/8/1944,Rhode Island
Stephen Curry,2010,2022,G,2-Jun,185,3/14/1988,Davidson
Stephen Graham,2006,2011,G,6-Jun,215,6/11/1982,"Central Florida, Oklahoma State"
Stephen Howard,1993,1998,F,9-Jun,225,7/15/1970,DePaul
Stephen Jackson,2001,2014,F-G,8-Jun,218,4/5/1978,Butler County Community College
Stephen Previs,1973,1973,G,3-Jun,183,2/9/1950,UNC
Stephen Thompson,1992,1992,G,4-Jun,185,12/2/1968,Syracuse
Stephen Vacendak,1968,1970,G,1-Jun,185,8/15/1944,Duke
Stephen Wilson,1971,1972,G,5-Jun,185,10/16/1948,Hanover College
Stephen Zimmerman,2017,2017,C,1-Jul,240,9/9/1996,UNLV
Stephon Marbury,1997,2009,G,2-Jun,180,2/20/1977,Georgia Tech
Sterling Brown,2018,2022,G,5-Jun,219,2/10/1995,SMU
Steve Alford,1988,1991,G,2-Jun,183,11/23/1964,Indiana
Steve Bardo,1992,1996,G,5-Jun,190,4/5/1968,Illinois
Steve Blake,2004,2016,G,3-Jun,172,2/26/1980,Maryland
Steve Bracey,1973,1975,G,1-Jun,175,8/1/1950,Tulsa
Steve Bucknall,1990,1990,G,6-Jun,215,3/17/1966,UNC
Steve Burtt,1985,1993,G,2-Jun,185,11/5/1962,Iona College
Steve Colter,1985,1995,G,3-Jun,165,7/24/1962,New Mexico State
Steve Courtin,1965,1965,G,1-Jun,188,9/21/1942,Saint Joseph's
Steve Downing,1974,1975,C,8-Jun,225,9/9/1950,Indiana
Steve Francis,2000,2008,G,3-Jun,195,2/21/1977,Maryland
Steve Goodrich,2001,2002,F,10-Jun,220,3/18/1976,Princeton
Steve Green,1976,1979,F,7-Jun,220,10/4/1953,Indiana
Steve Hamer,1997,1997,C,1-Jul,245,11/13/1973,Tennessee
Steve Hamilton,1959,1960,F-C,6-Jun,190,11/30/1934,Morehead State University
Steve Harris,1986,1990,G,5-Jun,195,10/15/1963,Tulsa
Steve Hawes,1975,1984,C-F,9-Jun,220,5/26/1950,Washington
Steve Hayes,1982,1986,C,1-Jul,205,8/2/1955,Idaho State University
Steve Henson,1991,1999,G,11-May,177,2/2/1968,Kansas State
Steve Johnson,1982,1991,C-F,10-Jun,235,11/3/1957,Oregon State
Steve Jones,1968,1976,G-F,5-Jun,205,10/17/1942,Oregon
Steve Kerr,1989,2003,G,3-Jun,175,9/27/1965,Arizona
Steve Kuberski,1970,1978,F-C,8-Jun,215,11/6/1947,Bradley
Steve Lingenfelter,1983,1984,F,9-Jun,225,6/10/1958,"Minnesota, South Dakota State"
Steve Malovic,1980,1980,F,10-Jun,230,7/21/1956,"USC, San Diego State"
Steve Mix,1970,1983,F,7-Jun,215,12/30/1947,Toledo
Steve Nash,1997,2014,G,3-Jun,195,2/7/1974,Santa Clara
Steve Novak,2007,2017,F,10-Jun,225,6/13/1983,Marquette
Steve Patterson,1972,1976,C,9-Jun,225,6/24/1948,UCLA
Steve Scheffler,1991,1997,C-F,9-Jun,250,9/3/1967,Purdue
Steve Sheppard,1978,1979,F,6-Jun,215,3/21/1954,Maryland
Steve Smith,1992,2005,G,7-Jun,200,3/31/1969,Michigan State
Steve Stipanovich,1984,1988,C,11-Jun,245,11/17/1960,Missouri
Steven Adams,2014,2022,C,11-Jun,265,7/20/1993,Pitt
Steven Hill,2009,2009,C,1-Jul,248,11/14/1985,Arkansas
Steven Hunter,2002,2010,C,1-Jul,220,10/31/1981,DePaul
Steven Kramer,1968,1970,G-F,5-Jun,200,1/1/1945,BYU
Steven Smith,2007,2007,F,8-Jun,235,4/12/1983,La Salle
Stevin Smith,1997,1997,G,2-Jun,208,1/24/1972,Arizona State
Stew Johnson,1968,1976,F-C,8-Jun,220,8/19/1944,Murray State
Stewart Granger,1984,1987,G,3-Jun,190,10/27/1961,Villanova
Stojko Vrankovi a ,1991,1999,C,2-Jul,260,1/22/1964,
Stromile Swift,2001,2009,F,9-Jun,225,11/21/1979,LSU
Stu Lantz,1969,1976,G,3-Jun,175,7/13/1946,Nebraska
Stuart Gray,1985,1991,C-F,1-Jul,235,5/27/1963,UCLA
Sun Yue,2009,2009,G,9-Jun,205,11/6/1985,
Sundiata Gaines,2010,2012,G,1-Jun,185,4/18/1986,Georgia
Svi Mykhailiuk,2019,2022,G-F,7-Jun,205,6/10/1997,Kansas
Swede Halbrook,1961,1962,C,3-Jul,235,1/30/1933,Oregon State
Swen Nater,1974,1984,C,11-Jun,240,1/14/1950,UCLA
Sylvester Gray,1989,1989,F,6-Jun,230,7/8/1967,Memphis
Sylvester Norris,1980,1980,C,11-Jun,220,2/18/1957,Jackson State University
T.J. Ford,2004,2012,G,1-Jun,165,3/24/1983,Texas
T.J. Leaf,2018,2021,F,10-Jun,222,4/30/1997,UCLA
T.J. McConnell,2016,2022,G,1-Jun,190,3/25/1992,"Duquesne, Arizona"
T.J. Warren,2015,2021,F,8-Jun,220,9/5/1993,NC State
T.R. Dunn,1978,1991,G-F,4-Jun,192,2/1/1955,Alabama
Tacko Fall,2020,2022,C,6-Jul,311,12/10/1995,Central Florida
Tahjere McCall,2019,2019,G,5-Jun,195,8/17/1994,Tennessee State
Taj Gibson,2010,2022,F,9-Jun,232,6/24/1985,USC
Tal Skinner,1975,1976,F-G,5-Jun,195,9/10/1952,University of Maryland Eastern Shore
Talen Horton-Tucker,2020,2022,G-F,4-Jun,234,11/25/2000,Iowa State
Tamar Slay,2003,2005,G,8-Jun,215,4/2/1980,Marshall
Tang Hamilton,2002,2002,F,8-Jun,220,5/26/1978,Mississippi State
Tarence Kinsey,2007,2009,G,6-Jun,185,3/21/1984,South Carolina
Tarik Black,2015,2018,C-F,9-Jun,250,11/22/1991,"Memphis, Kansas"
Tariq Abdul-Wahad,1998,2003,F,6-Jun,223,11/3/1974,"Michigan, San Jose State"
Tariq Owens,2020,2020,F,10-Jun,205,6/30/1995,"Tennessee, St. John's, Texas Tech"
Tate Armstrong,1978,1979,G,3-Jun,175,10/5/1955,Duke
Tate George,1991,1995,G,5-Jun,190,5/29/1968,UConn
Taurean Green,2008,2008,G,1-Jun,177,11/28/1986,Florida
Taurean Prince,2017,2022,F,7-Jun,218,3/22/1994,Baylor
Taylor Griffin,2010,2010,F,7-Jun,238,4/18/1986,Oklahoma
Tayshaun Prince,2003,2016,F,9-Jun,212,2/28/1980,Kentucky
Ted Luckenbill,1962,1963,F,6-Jun,205,7/27/1939,Houston
Ted Manakas,1974,1974,G,2-Jun,180,2/22/1951,Princeton
Ted McClain,1972,1979,G,1-Jun,180,8/30/1946,Tennessee State
Tellis Frank,1988,1994,F-C,10-Jun,225,4/26/1965,Western Kentucky
Terance Mann,2020,2022,G-F,5-Jun,215,10/18/1996,Florida State
Terence Davis,2020,2022,G,4-Jun,201,5/16/1997,Ole Miss
Terence Morris,2002,2006,F,9-Jun,221,1/11/1979,Maryland
Terence Stansbury,1985,1987,G,5-Jun,170,2/27/1961,Temple
Terrance Ferguson,2018,2021,G-F,6-Jun,190,5/17/1998,
Terrance Roberson,2001,2001,F,7-Jun,215,12/30/1976,Fresno State
Terrel Harris,2012,2013,G,5-Jun,190,8/10/1987,Oklahoma State
Terrell Brandon,1992,2002,G,11-May,180,5/20/1970,Oregon
Terrence Jones,2013,2019,F,9-Jun,252,1/9/1992,Kentucky
Terrence Rencher,1996,1996,G,3-Jun,185,2/19/1973,Texas
Terrence Ross,2013,2022,F-G,6-Jun,206,2/5/1991,Washington
Terrence Williams,2010,2013,F,6-Jun,220,6/28/1987,Louisville
Terry Catledge,1986,1993,F,8-Jun,220,8/22/1963,University of South Alabama
Terry Crosby,1980,1980,G,4-Jun,195,1/4/1957,Tennessee
Terry Cummings,1983,2000,F,9-Jun,220,3/15/1961,DePaul
Terry Davis,1990,2001,F-C,9-Jun,225,6/17/1967,Virginia Union University
Terry Dehere,1994,1999,G,2-Jun,190,9/12/1971,Seton Hall
Terry Dischinger,1963,1973,F-G,7-Jun,189,11/21/1940,Purdue
Terry Dozier,1990,1990,F,9-Jun,210,6/29/1966,South Carolina
Terry Driscoll,1971,1975,F,7-Jun,215,8/28/1947,Boston College
Terry Duerod,1980,1983,G,2-Jun,180,7/29/1956,Detroit Mercy
Terry Furlow,1977,1980,G-F,4-Jun,190,10/18/1954,Michigan State
Terry Kunze,1968,1968,G-F,4-Jun,210,3/11/1943,Minnesota
Terry Mills,1991,2001,F,10-Jun,230,12/21/1967,Michigan
Terry Porter,1986,2002,G,3-Jun,195,4/8/1963,University of Wisconsin-Stevens Point
Terry Rozier,2016,2022,G,1-Jun,190,3/17/1994,Louisville
Terry Taylor,2022,2022,G-F,5-Jun,230,9/23/1999,Austin Peay State University
Terry Teagle,1983,1993,F-G,5-Jun,195,4/10/1960,Baylor
Terry Thomas,1976,1976,F,8-Jun,220,8/20/1953,Detroit Mercy
Terry Tyler,1979,1989,F-G,7-Jun,215,10/30/1956,Detroit Mercy
Tex Ritter,1949,1951,G-F,2-Jun,185,2/26/1924,Eastern Kentucky University
Thabo Sefolosha,2007,2020,G-F,6-Jun,215,5/2/1984,
Thaddeus Young,2008,2022,F,8-Jun,235,6/21/1988,Georgia Tech
Thales McReynolds,1966,1966,G,3-Jun,185,6/8/1943,Miles College
Thanasis Antetokounmpo,2016,2022,F,6-Jun,219,7/18/1992,
Thao Maledon,2021,2022,G,4-Jun,175,6/12/2001,
Tharon Mayes,1992,1992,G,3-Jun,175,9/9/1968,Florida State
Theo Pinson,2019,2022,G,5-Jun,212,11/5/1995,UNC
Theo Ratliff,1996,2011,C-F,10-Jun,225,4/17/1973,Wyoming
Theron Smith,2004,2005,F,8-Jun,225,10/3/1980,Ball State University
Thomas Bryant,2018,2022,C,10-Jun,248,7/31/1997,Indiana
Thomas Gardner,2008,2009,G,5-Jun,225,2/8/1985,Missouri
Thomas Hamilton,1996,2000,C,2-Jul,330,4/3/1975,Pitt
Thomas Jordan,1993,1993,F-C,10-Jun,220,5/23/1968,Oklahoma State
Thomas Robinson,2013,2017,F,10-Jun,237,3/17/1991,Kansas
Thomas Welsh,2019,2019,C,1-Jul,255,2/3/1996,UCLA
Thon Maker,2017,2021,F-C,1-Jul,221,2/25/1997,
Thurl Bailey,1984,1999,F-C,11-Jun,215,4/7/1961,NC State
Tiago Splitter,2011,2017,F-C,11-Jun,245,1/1/1985,
Tibor Plei aü,2016,2016,C,3-Jul,256,11/2/1989,
Ticky Burden,1976,1978,G,2-Jun,185,2/28/1953,Utah
Tierre Brown,2002,2005,G,2-Jun,189,6/3/1979,McNeese State University
Tim Bassett,1974,1980,F-C,8-Jun,225,4/1/1951,Georgia
Tim Breaux,1995,1998,F,7-Jun,215,9/19/1970,Wyoming
Tim Duncan,1998,2016,F-C,11-Jun,250,4/25/1976,Wake Forest
Tim Frazier,2015,2022,G,1-Jun,170,11/1/1990,Penn State
Tim Hardaway,1990,2003,G,1-Jun,175,9/1/1966,Texas-El Paso
Tim Hardaway Jr.,2014,2022,G,5-Jun,205,3/16/1992,Michigan
Tim James,2000,2002,F,7-Jun,212,12/26/1976,Miami (FL)
Tim Kempton,1987,1998,F-C,10-Jun,245,1/25/1964,Notre Dame
Tim Legler,1990,2000,G,4-Jun,200,12/26/1966,La Salle
Tim McCormick,1985,1992,C,11-Jun,240,3/10/1962,Michigan
Tim Ohlbrecht,2013,2013,C,11-Jun,255,8/30/1988,
Tim Perry,1989,1996,F-C,9-Jun,200,6/4/1965,Temple
Tim Quarterman,2017,2018,G,6-Jun,195,10/27/1994,LSU
Tim Thomas,1998,2010,F,10-Jun,230,2/26/1977,Villanova
Tim Young,2000,2000,C,1-Jul,220,2/6/1976,Stanford
Timofey Mozgov,2011,2018,C,1-Jul,275,7/16/1986,
Timoth a Luwawu-Cabarrot,2017,2022,F,7-Jun,220,5/9/1995,
Tiny Archibald,1971,1984,G,1-Jun,150,9/2/1948,Texas-El Paso
Tito Horford,1989,1994,C,1-Jul,245,1/19/1966,Miami (FL)
Tito Maddox,2003,2003,G,4-Jun,190,6/7/1981,Fresno State
Tobias Harris,2012,2022,F,8-Jun,226,7/15/1992,Tennessee
Toby Bailey,1999,2000,G,6-Jun,213,11/19/1975,UCLA
Toby Kimball,1967,1975,F-C,6-Jun,220,9/7/1942,UConn
Toby Knight,1978,1982,F,9-Jun,210,5/3/1955,Notre Dame
Tod Murphy,1988,1994,C-F,9-Jun,220,12/24/1963,"University of California, Irvine"
Todd Day,1993,2001,G-F,6-Jun,188,1/7/1970,Arkansas
Todd Fuller,1997,2001,C,11-Jun,255,7/25/1974,NC State
Todd Lichti,1990,1994,G-F,4-Jun,205,1/8/1967,Stanford
Todd MacCulloch,2000,2003,C,1-Jul,280,1/27/1976,Washington
Todd Mitchell,1989,1989,F,7-Jun,205,7/26/1966,Purdue
Todd Mundt,1996,1996,C,1-Jul,250,5/17/1970,"Memphis, Delta State University"
Togo Palazzi,1955,1960,F-G,4-Jun,205,8/8/1932,Holy Cross
Tom Abernethy,1977,1981,F,7-Jun,220,5/6/1954,Indiana
Tom Barker,1977,1979,C-F,11-Jun,225,3/11/1955,Hawaii
Tom Black,1971,1971,C,10-Jun,220,7/9/1941,South Dakota State
